usecase_id,workflow_id,persona_id,name,description,preconditions,steps,expected_outcome,postconditions,acceptance_criteria,requirements_refs,priority
UC011,WF012,P010,Build Recommendation Engine MVP,"Startup CTO builds basic recommendation system using collaborative filtering on graph","Docker installed, Development environment ready, Sample user-item interaction data available","1. Deploy Samyama locally via Docker; 2. Model users and items as nodes; 3. Create PURCHASED/VIEWED edges; 4. Write Cypher query for collaborative filtering (users who bought X also bought Y); 5. Build REST API wrapper; 6. Test with sample data; 7. Deploy to cloud; 8. Onboard beta users","Recommendation API functional, Query latency acceptable, Beta users can get recommendations, Infrastructure cost minimal","MVP deployed, Users getting recommendations, System monitored, Feedback collected","MVP deployed < 1 month, Query latency < 50ms, 10+ beta users onboarded, Cost < $500/month",REQ-REDIS-006|REQ-COMPAT-001|REQ-COMPAT-004,Medium
UC012,WF013,P001,Rolling Upgrade from v1.0 to v1.1,"DBA performs zero-downtime rolling upgrade across 3-node cluster","v1.1 release notes reviewed, Staging upgrade successful, Production backup completed, Maintenance communication sent","1. Drain traffic from node-1; 2. Stop node-1; 3. Upgrade node-1 to v1.1; 4. Start node-1; 5. Verify node-1 rejoins cluster; 6. Repeat for node-2 and node-3; 7. Verify all nodes on v1.1; 8. Monitor for 24 hours; 9. Validate new features","All nodes upgraded to v1.1, No downtime experienced, New features available, System stable","Cluster fully upgraded, Feature flags enabled, Performance baseline re-established, Documentation updated","Zero downtime, All nodes on v1.1, No errors during upgrade, Performance maintained",REQ-AVAIL-004|REQ-OPS-011,High
UC013,WF014,P002,Import CSV Data into Graph,"Developer imports CSV files containing nodes and edges into Samyama","CSV files prepared (users.csv, friendships.csv), Data transformation logic ready, Database access configured","1. Write Python script using redis-py; 2. Use pipelining for batch inserts; 3. Read users.csv and create Person nodes; 4. Read friendships.csv and create FRIENDS_WITH edges; 5. Monitor import progress; 6. Validate record counts; 7. Create indices after import; 8. Run sample queries","Data imported successfully, Record counts match CSV files, Indices created, Queries performant","Graph populated with data, Indices operational, Application can query data, Import script saved for reuse","Import completes in < 1 hour for 1M records, All records imported successfully, Queries use indices, No data corruption",REQ-CYPHER-003|REQ-REDIS-007|REQ-PERF-003,Medium
UC014,WF002,P003,Analyze Knowledge Graph with Path Queries,"Data scientist finds shortest paths between entities in knowledge graph","Knowledge graph loaded (entities as nodes, relationships as edges), Python client installed, Jupyter notebook ready","1. Connect to Samyama from Jupyter; 2. Write query to find shortest path between two entities; 3. Execute query using variable-length patterns; 4. Visualize path results; 5. Run multiple path queries for analysis; 6. Export results to pandas DataFrame; 7. Perform statistical analysis","Shortest paths found, Analysis complete, Results exported to DataFrame, Insights documented","Path analysis complete, Findings documented in notebook, Results reproducible, Code committed to repo","Query finds correct shortest path, Execution time < 50ms, Results exported successfully, Analysis reproducible",REQ-CYPHER-005|REQ-CYPHER-006|REQ-COMPAT-001,Medium
UC015,WF003,P005,Enforce Tenant Memory Quota,"Tenant admin validates that tenant cannot exceed allocated 4GB memory quota","Tenant created with 4GB memory quota, Monitoring configured, Test data generator ready","1. Start loading data into tenant namespace; 2. Monitor memory usage via metrics API; 3. Continue loading until quota approached; 4. Observe quota enforcement (writes rejected or eviction triggered); 5. Verify error message indicates quota exceeded; 6. Validate other tenants unaffected","Memory quota enforced at 4GB, Writes rejected when quota exceeded, Error message clear, Other tenants unaffected","Quota working as designed, Tenant cannot exceed limit, Monitoring alert triggered, Documentation updated","Memory usage cannot exceed 4GB, Clear error message returned, Other tenants operational, No cluster impact",REQ-TENANT-003|REQ-MEM-006|REQ-TENANT-005,Critical
UC016,WF004,P001,Validate Data Consistency After Network Partition,"DBA tests that cluster maintains consistency during and after network partition","3-node cluster running, Network partition simulation tool available, Write load generator ready","1. Start continuous writes to cluster; 2. Simulate network partition isolating 1 node; 3. Observe that minority partition (1 node) rejects writes; 4. Majority partition (2 nodes) continues accepting writes; 5. Heal partition; 6. Verify isolated node catches up via log replication; 7. Validate all nodes have same data","Minority partition rejected writes during partition, Majority partition accepted writes, All nodes consistent after healing, No data loss","Cluster fully recovered, Data consistent across all nodes, Split-brain prevented, Test documented","Writes rejected on minority partition, Writes accepted on majority, No data loss, Consistency validated with checksums",REQ-DIST-005|REQ-AVAIL-003|REQ-DIST-006,Critical
UC017,WF007,P004,Add Nodes to Scale Read Capacity,"DevOps engineer adds 2 read replicas to handle increased query load","Current cluster at capacity (CPU > 80%), New nodes provisioned, Load balancer configured","1. Monitor current read QPS and latency; 2. Add 2 new follower nodes to cluster; 3. Verify nodes join Raft cluster as followers; 4. Configure load balancer to include new nodes for reads; 5. Monitor query distribution; 6. Measure new read capacity; 7. Validate latency improvement","2 new nodes added, Read capacity increased, Latency reduced, Load balanced across nodes","Read QPS doubled, Latency improved, All nodes healthy, Capacity plan updated","Read QPS increased by 2x, p99 latency reduced from 25ms to 10ms, All nodes receiving traffic, No errors",REQ-DIST-003|REQ-SCALE-001|REQ-PERF-002,High
UC018,WF008,P002,Use Aggregation Functions in Query,"Developer writes query to count friends and calculate average age by city","Graph contains Person nodes with age and city properties, FRIENDS_WITH edges exist, Database access configured","1. Write Cypher query with GROUP BY on city; 2. Use COUNT() to count friends; 3. Use AVG() to calculate average age; 4. Add ORDER BY to sort results; 5. Execute query; 6. Validate results; 7. Optimize if needed","Query returns correct aggregated results, Results sorted by city, Execution time acceptable","Query validated and added to application, Results match expected values, Performance acceptable","Correct aggregate values returned, Results properly grouped by city, Execution time < 50ms, Query optimized",REQ-CYPHER-004|REQ-CYPHER-008,Medium
UC019,WF009,P008,Audit Security Events for Compliance,"Security engineer validates audit logs capture all required security events for SOC2 audit","Audit logging enabled, Sample security events to test, Audit log retention configured, SOC2 requirements documented","1. Perform test login (success and failure); 2. Execute privileged operations (create user, delete data); 3. Attempt unauthorized access; 4. Review audit logs; 5. Verify all events captured; 6. Validate log format and content; 7. Test log retention policy; 8. Export logs for auditor review","All security events logged, Log format meets requirements, Retention policy working, Logs exportable for audit","Audit logging validated, Logs ready for compliance audit, Security controls verified, Documentation complete","All authentication attempts logged, Privileged operations captured, Unauthorized access attempts logged, Logs tamper-proof",REQ-SEC-005|REQ-OPS-004,Critical
UC020,WF010,P009,Chaos Testing - Simulate Node Crash During Write,"QA engineer validates system behavior when node crashes during active writes","Test cluster deployed, Chaos engineering tool configured, Write load generator ready, Data integrity validation script prepared","1. Start continuous write operations; 2. Monitor write success rate; 3. Randomly kill one node process; 4. Continue writes; 5. Observe failover behavior; 6. Verify writes continue to succeed; 7. Validate no duplicate or lost writes; 8. Restart killed node; 9. Verify node rejoins and catches up","Node crash doesn't cause write failures after failover, No data lost or duplicated, Crashed node successfully rejoins","System survived node crash, Data integrity maintained, Chaos test documented, Any bugs identified","Write success rate remains high (> 99%), No committed writes lost, No duplicate writes, Crashed node rejoins automatically",REQ-AVAIL-002|REQ-AVAIL-003|REQ-DIST-004,High
UC021,WF002,P002,Connect from Python Application,"Developer connects Python Flask app to Samyama and executes first query","Python and Flask installed, redis-py library installed, Samyama instance running and accessible","1. Import redis library in Python; 2. Create connection to Samyama; 3. Authenticate with credentials; 4. Execute simple GRAPH.QUERY command; 5. Parse response; 6. Handle errors; 7. Close connection; 8. Integrate into Flask route","Python app successfully connects, Query executes and returns results, Error handling works, Results rendered in Flask app","Python integration working, Sample app deployed locally, Developer documentation updated, Code committed","Connection successful, Query returns expected results, Error handling validates, Response time < 100ms",REQ-REDIS-002|REQ-REDIS-006|REQ-COMPAT-001,High
UC022,WF005,P003,Calculate PageRank on Large Graph,"Data scientist runs custom PageRank-like algorithm using Cypher queries","Large graph loaded, Algorithm designed, Python client configured, Computational resources allocated","1. Implement iterative PageRank in Python using Cypher queries; 2. Initialize all nodes with rank 1.0; 3. Iterate: calculate new ranks based on neighbors; 4. Update node properties with new ranks; 5. Repeat until convergence; 6. Extract top-ranked nodes; 7. Validate results; 8. Export to file","PageRank algorithm completes successfully, Results converge, Top nodes identified, Results validated","Algorithm documented, Results exported, Performance acceptable for graph size, Code reusable","Algorithm converges in < 20 iterations, Execution time < 10 minutes for 10M nodes, Results accurate, Code reproducible",REQ-CYPHER-001|REQ-CYPHER-003|REQ-PERF-005,Medium
UC023,WF001,P004,Configure Prometheus Monitoring,"DevOps engineer sets up Prometheus to scrape Samyama metrics","Prometheus server deployed, Samyama metrics endpoint exposed, Grafana available, Alert manager configured","1. Configure Prometheus scrape config for Samyama; 2. Verify Prometheus scraping metrics; 3. Import Samyama Grafana dashboard; 4. Configure alert rules (high latency, node down, etc.); 5. Test alerts by triggering conditions; 6. Verify alerts fire correctly; 7. Document monitoring setup","Prometheus scraping metrics, Grafana dashboard showing data, Alerts configured and tested, Documentation complete","Monitoring operational, Dashboards accessible, Alerts firing correctly, On-call team notified of setup","Prometheus targets all healthy, Metrics visible in Grafana, Test alerts fire within 2 minutes, No scrape errors",REQ-OPS-001|REQ-OPS-002|REQ-AVAIL-005,High
UC024,WF006,P001,Test Point-in-Time Recovery,"DBA validates ability to recover database to specific timestamp","Production database with continuous writes, Backups configured, Point-in-time recovery feature enabled, Test restoration target identified","1. Note current timestamp; 2. Perform some operations (creates, updates, deletes); 3. Note restoration target timestamp (before some operations); 4. Continue operations after target; 5. Initiate point-in-time recovery to target timestamp; 6. Validate restored data matches state at target time; 7. Verify operations after target are not present","Database restored to exact point in time, Data matches expected state at target timestamp, Operations after target not present","Recovery successful, Data validated, Recovery process documented, RTO measured","Restored data matches snapshot at target timestamp, No data corruption, Recovery time < 2 hours, Process documented",REQ-OPS-006|REQ-PERSIST-002|REQ-PERSIST-004,High
UC025,WF015,P006,Design Multi-Region Architecture,"Solutions architect designs globally distributed deployment across 3 AWS regions","Requirements gathered (latency SLAs, data residency, disaster recovery), AWS account configured, Budget approved","1. Design cluster topology (5 nodes across 3 regions); 2. Plan network architecture (VPC peering, private links); 3. Calculate cross-region replication latency; 4. Design failover strategy; 5. Plan data residency compliance; 6. Estimate costs; 7. Create architecture diagram; 8. Document trade-offs; 9. Present to stakeholders; 10. Get approval","Architecture designed and documented, Costs estimated, Trade-offs understood, Stakeholder approval obtained","Architecture approved, Deployment plan ready, Costs within budget, Documentation complete","Architecture supports < 100ms cross-region latency, Disaster recovery plan meets RTO/RPO, Costs within budget, Stakeholders approve",REQ-COMPAT-002|REQ-AVAIL-001|REQ-DIST-001|REQ-SCALE-001,Medium
UC026,WF016,P002,Configure Auto-Embed for Documentation,"Developer configures automatic embedding generation for document nodes","Samyama instance running, LLM provider API key available","1. Create tenant config with OpenAI provider; 2. Define embedding policy: Document nodes, content property; 3. Create Document node with text content; 4. Wait for background processing; 5. Verify vector embedding created","Vector embedding automatically generated and indexed","Auto-Embed configured, Embeddings generated automatically","Embedding generated without manual intervention, Vector search finds the document",REQ-RAG-001|REQ-RAG-002|REQ-RAG-003,High
UC027,WF017,P002,Query Graph using English,"Developer asks questions in plain English to explore data","NLQ enabled for tenant, Graph contains data","1. Send query: \"Who are Alice friends?\"; 2. System generates: MATCH (a:Person {name: \"Alice\"})-[:KNOWS]->(b) RETURN b; 3. System executes query; 4. Returns friend nodes","Correct nodes returned, Generated Cypher shown","User has answer without writing code","Result matches Cypher equivalent, Generated Cypher is valid, No data modified",REQ-NLQ-001|REQ-NLQ-002,High
